ISIN CODE;DATE;ABNORMAL_RETURN;ABS_AR;PREDICTED_RETURN;RETURN_STOCK;RETURN_MARKET;t;Surpise_Category;# Estimates;Mean;Standard Deviation;Variationskoeffizient
CH0024608827;44642;0.014402877;0.014402877;0.003017049;0.017419926;0.002115919;0;Positive;15;52.97079164;3.335561036;0.062969817
CH0024608827;45006;0.046513468;0.046513468;0.020581787;0.067095255;0.011597732;0;Positive;17;39.40415411;1.686302604;0.042795046
CH0024608827;45370;-0.027991864;0.027991864;-0.003781745;-0.031773608;-0.003895988;0;Negativ;16;44.11752206;1.314743501;0.029800937
CH0024638196;43875;-0.032951901;0.032951901;0.004849868;-0.028102033;0.004725495;0;Neutral;17;8.813809716;0.251859925;0.028575603
CH0024638196;44244;-0.01692021;0.01692021;-0.006374016;-0.023294226;-0.009628859;0;Positive;18;7.716201885;0.589386491;0.07638298
CH0024638196;44608;-0.052302216;0.052302216;-0.000759426;-0.053061641;0.00040063;0;Positive;18;8.476442777;0.391767916;0.046218435
CH0024638196;44979;0.079632135;0.079632135;0.001523082;0.081155218;0.001185611;0;Positive;15;6.675112754;0.553576771;0.082931449
CH0024638196;45336;0.03562793;0.03562793;0.006701667;0.042329597;0.007015782;0;Neutral;14;8.786417674;0.433281652;0.049312663
CH0024638212;44244;-0.016636731;0.016636731;-0.006893766;-0.023530497;-0.009628859;0;Positive;5;7.881543823;0.699103643;0.088701358
CH0024638212;44608;-0.057685699;0.057685699;-0.000725063;-0.058410762;0.00040063;0;Neutral;5;8.65392703;0.481382672;0.055625922
CH0024638212;44979;0.071446606;0.071446606;0.001414743;0.072861348;0.001185611;0;Positive;5;6.573238623;0.495802337;0.075427406
CH0024638212;45336;0.033989746;0.033989746;0.006410299;0.040400045;0.007015782;0;Positive;13;8.718927259;0.385287049;0.044189731
