Name;ISIN CODE;INDUSTRY GROUP;YR_2015;YR_2016;YR_2017;YR_2018;YR_2019;YR_2020;YR_2021;YR_2022;YR_2023
STADLER RAIL AG ;CH0002178181;8592;NA;11.04.2019;11.04.2019;11.04.2019;13.04.2020;11.03.2021;15.03.2022;15.03.2023;13.03.2024
ORIOR AG ;CH0111677362;6760;29.02.2016;28.02.2017;01.03.2018;04.03.2019;04.03.2020;10.03.2021;02.03.2022;08.03.2023;13.03.2024
KUROS BIOSCIENCE ;CH0325814116;3410;26.04.2016;22.05.2017;04.05.2018;23.04.2019;26.03.2020;18.03.2021;16.03.2022;15.03.2023;13.03.2024
UG HOLDING AG ;CH0542483745;3720;NA;NA;17.06.2020;17.06.2020;17.06.2020;19.03.2021;15.03.2022;15.03.2023;13.03.2024
SWISSQUOTE GROUP ;CH0010675863;4350;09.03.2016;07.03.2017;08.03.2018;08.03.2019;17.03.2020;18.03.2021;17.03.2022;16.03.2023;14.03.2024
TX GROUP ;CH0011178255;6430;15.03.2016;09.03.2017;13.03.2018;12.03.2019;19.03.2020;11.03.2021;10.03.2022;09.03.2023;14.03.2024
SWISS LIFE HOLDING ;CH0014852781;4370;01.03.2016;03.03.2017;27.02.2018;26.02.2019;28.02.2020;02.03.2021;01.03.2022;01.03.2023;14.03.2024
SF URBAN PROP ;CH0032816131;4380;10.02.2016;17.02.2017;13.03.2018;11.03.2019;02.06.2020;08.03.2021;13.04.2022;13.04.2023;14.03.2024
FUNDAMENTA REAL ;CH0045825517;4392;24.03.2016;23.03.2017;21.03.2018;15.03.2019;13.03.2020;12.03.2021;15.04.2022;15.03.2023;14.03.2024
ASMALLWORLD AG ;CH0404880129;8580;16.04.2018;16.04.2018;16.04.2018;19.03.2019;19.03.2020;18.03.2021;16.03.2022;16.03.2023;14.03.2024
MEYER BURGER TECH ;CH1357065999;4030;22.03.2016;22.03.2017;22.03.2018;21.03.2019;12.03.2020;11.03.2021;24.03.2022;23.03.2023;14.03.2024
MOLECULAR PARTNERS ;CH0256379097;3440;04.02.2016;14.02.2017;13.02.2018;07.02.2019;20.03.2020;05.02.2021;15.03.2022;09.03.2023;15.03.2024
GROUPE MINOTERIES SA ;CH0012949464;4660;19.04.2016;25.04.2017;25.04.2018;28.05.2019;21.04.2020;18.05.2021;17.03.2022;17.03.2023;18.03.2024
MONTANA AER ;CH1110425654;1920;NA;NA;NA;NA;NA;NA;04.04.2022;16.03.2023;18.03.2024
PARTNERS GR ;CH0024608827;4350;22.03.2016;21.03.2017;20.03.2018;19.03.2019;17.03.2020;16.03.2021;22.03.2022;21.03.2023;19.03.2024
VETROPACK AG ;CH0530235594;8530;23.03.2016;21.03.2017;20.03.2018;19.03.2019;17.03.2020;16.03.2021;15.03.2022;14.03.2023;19.03.2024
GEORG FISCHER AG ;CH1169151003;4910;07.03.2016;28.02.2017;28.02.2018;27.02.2019;26.02.2020;03.03.2021;02.03.2022;02.03.2023;19.03.2024
NEWRON PHARMA ;IT0004147952;3430;22.03.2016;02.03.2017;01.03.2018;05.03.2019;05.03.2020;16.03.2021;16.03.2022;14.03.2023;19.03.2024
WARTECK INVEST AG ;CH0002619481;4380;23.03.2016;22.03.2017;27.03.2018;25.03.2019;20.03.2020;23.03.2021;21.03.2022;20.03.2023;20.03.2024
SANDOZ GROUP AG ;CH1243598427;8580;NA;NA;NA;NA;NA;18.09.2023;18.09.2023;18.09.2023;20.03.2024
COSMO PHARMA ;NL0011832936;3430;14.06.2016;17.05.2017;23.03.2018;29.03.2019;08.04.2020;26.03.2021;31.03.2022;23.03.2023;20.03.2024
HOCN LTD ;CH0024666528;4690;07.04.2016;26.01.2017;06.04.2018;19.03.2019;19.03.2020;17.05.2021;18.04.2022;18.04.2023;21.03.2024
PEACH PROPERTY ;CH0118530366;2810;15.03.2016;01.02.2017;20.03.2018;19.02.2019;19.02.2020;29.03.2021;29.03.2022;21.03.2023;21.03.2024
BANQUE CANTONALE ;CH0305951201;4310;14.04.2016;09.03.2017;07.03.2018;06.03.2019;13.03.2020;06.05.2021;06.04.2022;05.04.2023;21.03.2024
AEVIS VICTORIA ;CH0478634105;8592;29.04.2016;27.03.2017;29.03.2018;27.02.2019;28.02.2020;02.03.2021;30.03.2022;09.03.2023;21.03.2024
BASLER KANTONALBANK ;CH0009236461;4320;29.03.2016;06.04.2017;06.04.2018;05.04.2019;16.04.2020;28.05.2021;29.06.2022;30.03.2023;22.03.2024
EVOLVA HOLDING LTD ;CH1262055788;3430;30.03.2016;30.03.2017;20.03.2018;01.03.2019;18.03.2020;25.02.2021;10.03.2022;09.03.2023;22.03.2024
EPIC SUISSE AG ;CH0516131684;8580;NA;NA;NA;NA;25.05.2022;25.05.2022;25.05.2022;27.03.2023;25.03.2024
BALOISE HOLDING AG ;CH0012410517;4370;22.03.2016;23.03.2017;27.03.2018;28.03.2019;12.03.2020;09.03.2021;10.03.2022;09.03.2023;26.03.2024
WAADT VERSICHERUNGEN ;CH0021545667;4370;06.04.2016;01.06.2017;24.05.2018;23.04.2019;25.03.2020;31.03.2021;30.03.2022;29.03.2023;26.03.2024
