ISIN;Year;Reporting date;Actual;Estimates;Mean;Surprise; Surpise (%) ;Surpise_Category;Standard Deviation
CH1357065999;FY Dec-20;11.03.2021;-10.62245067;7;-6.712327194;-3.910123474;-0.58;Negativ;1.236983731
CH1357065999;FY Dec-21;24.03.2022;-10.62245067;7;-6.257421367;-4.365029301;-0.7;Negativ;2.035258483
CH1357065999;FY Dec-22;23.03.2023;-6.001698462;8;-6.887853353;0.886154891;0.13;Positive;2.274646197
CH1357065999;FY Dec-23;14.03.2024;-63.85207263;7;-13.07349565;-50.77857697;-3.88;Negativ;3.296431068
IT0004147952;FY Dec-19;05.03.2020;-1.13;3;-1.49333;0.36333;0.24;Positive;0.16007
IT0004147952;FY Dec-20;16.03.2021;-1.18;4;-1.115;-0.065;-0.06;Negativ;0.19767
IT0004147952;FY Dec-21;16.03.2022;-0.84;3;-1.05667;0.21667;0.21;Positive;0.0834
IT0004147952;FY Dec-22;14.03.2023;-0.98;3;-0.95967;-0.02033;-0.02;Neutral;0.06424
IT0004147952;FY Dec-23;19.03.2024;-0.91;3;-0.85667;-0.05333;-0.06;Negativ;0.02625
LI0315487269;FY Dec-19;10.03.2020;13.06815346;2;11.73792611;1.330227347;0.11;Positive;0.542732758
LI0315487269;FY Dec-20;09.03.2021;7.342854957;3;7.768527708;-0.425672751;-0.05;Neutral;0.601997046
LI0315487269;FY Dec-21;08.03.2022;8.832709586;3;11.54708638;-2.71437679;-0.24;Negativ;1.366622367
LI0315487269;FY Dec-22;21.04.2023;6.959749481;4;7.345515412;-0.385765931;-0.05;Neutral;0.631432317
LI0315487269;FY Dec-23;12.03.2024;7.619542245;4;7.949172582;-0.329630337;-0.04;Neutral;0.369228544
LI0355147575;FY Dec-19;12.03.2020;4.011965679;2;4.35250388;-0.340538201;-0.08;Negativ;0.021283638
LI0355147575;FY Dec-20;11.03.2021;3.596934747;2;4.235443874;-0.638509127;-0.15;Negativ;0.372463657
LI0355147575;FY Dec-21;25.03.2022;4.501489343;1;4.527029708;-0.025540365;-0.01;Neutral;0
LI0355147575;FY Dec-22;27.02.2023;5.108073013;1;4.130089868;0.977983146;0.24;Positive;0
LI0355147575;FY Dec-23;26.02.2024;5.682731227;2;6.077542704;-0.394811477;-0.06;Negativ;0.467175844
NL0010733960;FY Dec-19;14.02.2020;2.27;3;2.56333;-0.29333;-0.11;Negativ;0.17134
NL0010733960;FY Dec-20;10.02.2021;-5.56;2;-2.45;-3.11;-1.27;Negativ;0.11
NL0010733960;FY Dec-21;10.02.2022;-0.87;1;-0.74;-0.13;-0.18;Negativ;0
NL0010733960;FY Dec-22;09.02.2023;-1.37;1;-1;-0.37;-0.37;Negativ;0
NL0010733960;FY Dec-23;04.04.2024;0.65;2;0.655;-0.005;-0.01;Neutral;0.275
NL0011832936;FY Dec-19;08.04.2020;-1.669;3;-1.80733;0.13833;0.08;Positive;0.08231
NL0011832936;FY Dec-20;26.03.2021;-0.546;1;-0.549;0.003;0.01;Neutral;0
NL0011832936;FY Dec-21;31.03.2022;1.282;2;0.795;0.487;0.61;Positive;0.365
NL0011832936;FY Dec-22;23.03.2023;1.049;4;1.336;-0.287;-0.21;Negativ;0.14865
NL0011832936;FY Dec-23;20.03.2024;0.071;2;4.34;-4.269;-0.98;Negativ;0.08
